Req_ID,File_ID,File_Size
170849045,7040763,684
170849588,12434132,19517
170850153,6408056,147
170850225,13906991,16780
170850562,9742976,1715
170851859,7324153,5769
170852193,9141191,11676
170852209,3920523,26770
170854345,9090859,4961
170854582,1674185,3629
170855423,13858402,14659
170856079,6408056,147
170857189,9704607,7915
170857841,6408056,147
170858485,135478 2,250
170858564,7040763,684
170858573,13858402,14659
170858982,4781590,509
170859120,11753447,1822
170859476,5360235,62713
170859843,6408056,147
170860071,3049843,348
170860323,1674185,3629
170860870,9818454,2622
170861132,4749342,31459
170861573,9929662,671
170861617,10896828,519
170861957,6408056,147
170863254,13445646,14394
170864705,1674185,3629
170864798,7040763,684
170865433,11753447,1822
170865719,2319814,8111
170866560,13264797,16412
170866750,13858402,14659
170867972,10542230,319
170868385,1383944,6789
170869314,1674185,3629
170869335,6408056,147
170869923,3920523,26770
170869957,6408056,147
170870878,12434132,19517
170872024,13397505,1155
170872700,743505 3,5032
170873308,7955606,196
170873628,13858402,14659
170873925,13445646,14394
170874326,6408056,147
170875253,13858402,14659
170875487,7901138,122
170875653,6408056,147
170875692,8530045,9859
170875799,1674185,3629
170876052,4985312,642
170876539,1674185,3629
170876706,1570115,14845
170877663,7789269,22125
170878151,13858402,14659
170878207,13858402,14659
170878802,1634125,12711
170879007,6408056,147
170879116,13858402,14659
170879626,1674185,3629
170880204,6408056,147
170880378,6408056,147
170880432,13858402,14659
170880722,13858402,14659
170880884,10899816,674
170880924,6408056,147
170881696,1674185,3629
170883766,1674185,3629
170884359,9313534,14151
170884594,1674185,3629
170884775,6683332,3722
170885185,4781590,509
170885381,4749342,31459
170885933,12434132,19517
170887058,3712206,26039
170887585,6408056,147
170887742,6408056,147
170887903,1517100,12441
170888285,2310879,4923
170888323,4252232,8496
170888949,8323738,3739
170889757,7955606,196
170890695,7356185,6489
170891513,1674185,3629
170891615,13858402,14659
170892401,13823962,17677
170892524,3478839,303
170892592,13600887,287
170893244,6408056,147
170893382,13858402,14659
170893463,733964 4,86
170893665,7405732,1564
170895087,135478 2,250
170895474,1674185,3629
170895696,6408056,147
170896077,5721365,25351
170896290,2310879,4923
170896488,9284471,15580
170896630,11753447,1822
170897342,10351321,13775
170897483,9742976,1715
170897797,4781590,509
170898873,13858402,14659
170899148,13397505,1155
170899747,3920523,26770
170899881,7450484,966
170900024,6408056,147
170900162,1674185,3629
170903374,6408056,147
170904187,6408056,147
170904279,3478839,303
170904729,12434132,19517
170905514,13397505,1155
170905614,6408056,147
170905836,4508027,4588
170906489,6408056,147
170907277,2727930,8829
170908010,6599376,4137
170908224,8694602,12292
170909062,7405732,1564
170909508,1885541,13065
170910752,6408056,147
170910876,6408056,147
170911176,11753447,1822
170911353,8332110,107
170912896,7552792,730
170913137,3495461,2894
170913389,1674185,3629
170913501,467903 1,4115
170913740,4781590,509
170913766,1674185,3629
170914018,6408056,147
170914026,6408056,147
170914321,6408056,147
170916158,10003775,2980
170916572,7040763,684
170916976,6408056,147
170917245,3119813,20202
170917441,3049843,348
170917544,13858402,14659
170917642,11589326,5100
170918368,1674185,3629
170918507,13632957,12315
170919249,1674185,3629
170919376,6408056,147
170920046,6408056,147
170920286,9284471,15580
170920736,1674185,3629
170921220,6408056,147
170921249,5347368,3292
170922211,6408056,147
170922420,6408056,147
170922583,6408056,147
170922607,11753447,1822
170922666,6408056,147
170922787,191360 1,6443
170922850,1819013,20194
170923353,1541284,14874
170924269,6408056,147
170924307,6408056,147
170924420,13264797,16412
170926604,10910402,11444
170926815,8448476,8341
170927130,8027186,13502
170927201,6408056,147
170927554,7901138,122
170927837,6862099,8217
170928515,6408056,147
170929117,4781590,509
170930166,6408056,147
170930552,6408056,147
170931040,6408056,147
170931811,955491 3,53
170932651,139121 1,8943
170932701,66475 58,97
170932788,955491 3,53
170933077,1674185,3629
170933142,13858402,14659
170933208,130149 1,607149
170933683,175632 1,117
170934514,13858402,14659
170934526,8735452,2985
170935018,6408056,147
170935444,1674185,3629
170935582,13858402,14659
170936039,13858402,14659
170936459,6408056,147
170936798,13858402,14659
170937040,7040763,684
170937352,6408056,147
170937410,7901138,122
170937667,13858402,14659
170937776,12047486,11923
170938082,7955606,196
170938475,6408056,147
170938853,2778357,122
170939092,9547965,72640
170939351,6408056,147
170939454,13858402,14659
170939740,13900924,34095
170939932,9757682,18691
170940288,1326714,1025
170940575,4252232,8496
170941242,13264797,16412
170941868,6408056,147
170942532,12434132,19517
170943660,13858402,14659
170946104,3491286,1697
170946898,1620004,5651
170946906,6408056,147
170948162,11340987,63550
170949575,3207154,22880
170950222,8254197,1423
170950932,10950790,10059
170953825,3119813,20202
170954509,6408056,147
170954789,310744 2,4788
170954947,5360235,62713
170955007,2897514,1417
170955104,3920523,26770
170955116,6408056,147
170957266,6408056,147
170957771,9547965,72640
170957928,6408056,147
170958449,7955606,196
170958578,11370541,14271
170959492,238169 1,705
170960082,4749342,31459
170960147,6408056,147
